indicativo,nombre,altitud,provincia,num_records,avg_tmin,avg_tmax,avg_prec,avg_velmedia,std_tmed,longest_gap_days
0009X,ALFORJA,406,TARRAGONA,3946,10.191410884704668,21.297033789012126,1.5026017516743948,3.106683608640407,6.195665436762451,19
0016A,REUS AEROPUERTO,71,TARRAGONA,4018,11.5548933984074,22.710323574730353,1.240719794344473,3.449813200498132,6.3255526310155,122
0034X,VALLS,233,TARRAGONA,4018,10.70931506849315,22.59840597758406,1.166752114842348,,6.388362684256128,1
0042Y,TARRAGONA,55,TARRAGONA,4001,13.231321982974462,22.422759138708063,1.2663231967831114,1.716103896103896,5.690693546486522,10
0061X,PONTONS,632,BARCELONA,3869,8.285391800726519,19.659496626881165,1.5478283485045512,3.4288166449934985,6.13332979375768,48
0066X,VILAFRANCA DEL PENEDÈS,177,BARCELONA,4014,10.577741693729703,22.473170122408195,1.2191017036654619,1.6240648379052367,6.411871755186369,4
0073X,SITGES,58,BARCELONA,3771,12.66771142934342,21.165036476627936,1.2437112846754645,1.699596882558452,5.751973132151185,185
0092X,BERGA,682,BARCELONA,3971,8.535995955510618,19.63455510616785,2.243005312420946,2.1763787459078316,7.063005052075245,12
0106X,BALSARENY,361,BARCELONA,3986,7.252206809583859,21.87899117276167,1.3799346240885089,2.2942433383609853,7.365451181862184,10
0114X,PRATS DE LLUÇANÈS,700,BARCELONA,4017,7.083216957605985,19.946982543640896,1.7667091836734694,1.559038844621514,7.230994315130605,1
0120X,MOIÀ,742,BARCELONA,4012,9.075956010997249,18.821869532616848,1.6785875281743052,1.9338818249813012,6.695565067703857,6
0149X,MANRESA,291,BARCELONA,3972,9.153242147922999,22.171757852077004,1.2373172608361116,2.0497005988023953,7.274250115599421,8
0158X,MONISTROL DE MONTSERRAT,738,BARCELONA,4014,10.545148416063856,17.592117735096036,1.5766383191595796,,6.629697751580116,2
0171X,IGUALADA,313,BARCELONA,3640,9.91580547112462,22.084589665653496,1.3577758961332205,1.3433257273245864,6.853608678338678,403
0194D,"CORBERA, PUIG D'AGULLES",647,BARCELONA,3932,10.358442251267006,20.252387303280873,1.312765385649019,,7.0533159795497955,166
0201X,"BARCELONA, DRASSANES",11,BARCELONA,3820,14.880634005763689,21.38587666950838,1.3380965292841647,1.4,5.6092181663799465,287
0222X,CALDES DE MONTBUI,175,BARCELONA,4018,9.610734888387258,22.42703787308753,1.4114242576748868,2.223966118584953,6.632753299071376,7
0244X,VILASSAR DE DALT,56,BARCELONA,3952,14.012072119153384,22.21891821269924,1.3349177330895796,2.111246509266311,5.742039620312063,33
0260X,FOGARS DE MONTCLÚS,936,BARCELONA,3957,9.16653953724892,17.873201118738873,2.2962867457452294,,6.413902460625026,23
0281Y,BLANES,45,GIRONA,4018,13.923253493013972,21.78173652694611,1.3927200199451508,2.7169280557630073,5.901086049398741,1
0284X,CASTELL D'ARO,14,GIRONA,4012,10.868069815195073,21.000795687885013,1.4153116183636831,2.1233108950386432,5.9081901705786475,98
0312X,SANT PAU DE SEGÚRIES,851,GIRONA,4006,5.165849962111644,18.07971710027785,2.5454928835002635,1.4618809404702353,6.348131807855969,10
0320I,PLANOLES,1151,GIRONA,3993,5.783982901684687,17.816167965803366,2.400946049603682,1.9204659318637272,6.155076949761321,11
0360X,LES PLANES D'HOSTOLES,337,GIRONA,3983,6.736148222838417,21.549130325182755,2.1433794724471142,0.7152663662867744,6.58394599799113,22
0363X,SANT HILARI,810,GIRONA,4003,7.011682125846076,18.41328653797944,2.270551220739995,1.7852963240810205,6.313005893192614,9
0370E,GIRONA,76,GIRONA,4011,10.919422110552764,23.31786432160804,1.8418336673346694,1.3633641128025955,6.7229298786360605,5
0385X,L'ESTARTIT,1,GIRONA,3947,13.039175782243705,20.398346476723482,1.1982151963284038,2.502812262477832,5.793280565655817,56
0394X,LA VALL DE BIANYA,350,GIRONA,4009,7.396021021021021,21.7276026026026,2.4183931278423447,1.2275199600798403,6.800777360880273,9
0411X,CASTELLÓ D'EMPÚRIES,2,GIRONA,3863,10.633890339425589,21.878616187989557,1.3304529981670594,2.4241307732226254,6.149241079457104,74
0413A,MAÇANET DE CABRENYS,355,GIRONA,3972,9.251265182186234,21.089473684210528,2.3190928843020098,1.613673057517659,6.3733600020798615,25
0421X,ESPOLLA,100,GIRONA,4013,11.659415584415585,22.196353646353643,1.5594513715710723,2.965743512974052,6.315476581000233,2
0429X,FIGUERES,45,GIRONA,4006,12.445290128108516,22.42290881688018,1.5360746720484357,2.077597402597403,6.440336149038919,6
